Үнэ,Талбай,Давхар,Ашиглалтын он,Дүүрэг
79680000.0,83.6,15,1985,2
110150000.0,58.9,6,2010,3
34310000.0,25.0,1,2000,1
116920000.0,73.1,7,1990,3
83890000.0,72.0,8,2006,0
96780000.0,67.6,10,2007,4
148320000.0,79.7,6,2014,3
40470000.0,41.0,15,1992,1
125850000.0,98.2,11,2006,0
84490000.0,44.7,16,2018,3
111720000.0,75.5,6,1995,4
47770000.0,31.6,11,2018,4
70440000.0,45.3,6,2013,5
112960000.0,89.3,12,2002,0
66780000.0,57.3,12,2020,2
146370000.0,77.1,6,2023,3
80540000.0,66.3,16,1994,1
82090000.0,60.1,14,2024,0
119850000.0,86.5,15,1985,5
70130000.0,57.7,4,1990,0
31260000.0,29.9,12,1986,1
71450000.0,47.5,2,1999,4
101640000.0,71.9,2,2022,0
94060000.0,69.1,16,2009,0
,33.8,3,2009,3
58870000.0,49.0,14,1988,0
51860000.0,51.5,7,2005,2
91230000.0,55.4,5,2000,3
43980000.0,37.2,2,2004,2
73620000.0,50.7,11,1995,4
63680000.0,48.9,12,1993,4
107910000.0,75.9,8,2023,0
110170000.0,76.6,13,2007,5
68830000.0,59.4,6,2001,1
67740000.0,54.9,9,1987,0
100150000.0,64.5,5,2015,4
60740000.0,47.3,10,2003,0
37230000.0,41.4,3,2000,1
58390000.0,45.1,8,2011,0
61290000.0,50.6,9,1990,0
55080000.0,41.1,9,2006,0
111680000.0,64.9,8,2019,5
128340000.0,75.1,11,2003,3
37750000.0,33.4,9,1985,0
81790000.0,62.5,5,1994,4
66680000.0,58.0,4,1987,0
100210000.0,68.1,11,2005,5
96610000.0,61.8,16,1999,3
46550000.0,35.8,13,1990,5
69050000.0,39.3,11,2012,5
70070000.0,62.5,15,1992,1
95690000.0,80.5,15,1998,1
38750000.0,25.0,9,2024,4
68240000.0,68.2,2,1987,1
140210000.0,83.4,11,1994,3
64290000.0,59.2,10,1997,0
108910000.0,71.9,5,2005,5
0.0,49.3,14,1994,3
70290000.0,59.9,14,2023,2
42360000.0,32.8,6,1985,5
26020000.0,25.0,8,2022,1
99090000.0,79.0,4,2006,0
58510000.0,44.3,3,1986,5
72930000.0,53.8,5,1989,5
56170000.0,37.0,6,1989,5
48990000.0,36.6,5,1996,5
70570000.0,58.9,3,1998,1
78240000.0,48.9,8,2010,5
88660000.0,68.8,10,1997,0
108310000.0,70.1,6,2014,4
102900000.0,67.8,9,1996,5
76090000.0,66.3,5,1995,1
151350000.0,90.4,12,1996,3
65620000.0,42.8,11,1998,3
58360000.0,61.0,16,2018,2
116370000.0,82.4,1,1994,4
120600000.0,84.8,14,1995,4
71300000.0,36.4,6,2023,3
59380000.0,56.4,2,2011,2
90860000.0,86.4,12,1992,2
91680000.0,71.1,3,2019,1
91950000.0,65.5,3,1992,4
71600000.0,58.1,16,1991,0
73210000.0,55.1,4,2002,1
72370000.0,67.2,9,2012,2
76620000.0,57.5,4,1992,4
62110000.0,61.2,2,2015,2
93070000.0,63.4,1,1991,4
93380000.0,49.8,1,2016,3
102400000.0,71.6,8,1988,5
151070000.0,114.5,7,2003,1
48910000.0,30.0,1,2010,5
93970000.0,67.8,6,1995,5
62760000.0,48.3,5,2009,0
75430000.0,72.4,10,2012,2
98600000.0,62.8,16,2011,5
126490000.0,75.7,12,2000,3
150070000.0,83.2,15,2015,3
113810000.0,65.5,4,2014,3
108520000.0,82.4,4,1998,0
40010000.0,25.0,13,2014,4
144800000.0,90.6,5,2021,4
130350000.0,68.8,14,2017,3
106290000.0,81.4,8,2014,1
52670000.0,40.0,4,2015,1
63950000.0,47.0,14,2017,1
79730000.0,64.6,9,1996,0
85560000.0,61.7,13,2013,0
83420000.0,67.1,8,1992,0
137810000.0,81.5,3,1999,3
41560000.0,30.2,11,2022,0
98710000.0,79.5,2,1996,1
68240000.0,62.1,11,2018,2
89740000.0,58.3,7,2001,5
36740000.0,35.5,13,1993,2
76640000.0,71.1,14,1988,1
40470000.0,25.0,7,2006,3
92490000.0,73.7,15,2003,0
59060000.0,35.1,2,2005,3
,63.0,2,1986,3
66760000.0,59.9,16,1995,1
130080000.0,83.1,10,1985,3
88430000.0,58.8,8,1997,4
82210000.0,49.5,3,2022,4
52630000.0,52.9,5,1991,0
138710000.0,84.9,11,2012,5
96710000.0,71.7,14,1985,5
98650000.0,55.1,15,2007,3
66110000.0,57.7,7,2021,2
39040000.0,33.8,8,1998,1
111210000.0,69.0,3,1992,3
37380000.0,30.3,2,2007,1
130330000.0,75.5,8,1996,3
73290000.0,64.3,10,2020,2
199630000.0,105.0,2,2018,3
49760000.0,42.2,7,2011,2
110150000.0,60.2,11,2010,3
117050000.0,94.4,13,2009,0
156470000.0,83.4,16,2014,3
70700000.0,49.5,6,2003,4
96070000.0,66.0,7,2023,0
59140000.0,62.0,14,1998,2
84000000.0,67.1,12,1985,4
73920000.0,49.4,5,2012,0
88510000.0,60.4,11,2011,4
,33.2,3,2024,0
81200000.0,64.4,8,2000,0
117600000.0,70.1,5,2001,3
75190000.0,57.9,16,2007,0
42220000.0,32.9,1,2000,4
103340000.0,79.8,14,2016,1
78260000.0,68.6,5,2002,1
88460000.0,48.9,1,2016,3
62830000.0,56.9,11,2002,2
41320000.0,35.0,11,1994,1
77410000.0,43.5,3,2024,3
71130000.0,52.3,1,2006,0
129880000.0,84.1,2,2013,4
63920000.0,50.5,7,2008,0
108360000.0,73.5,3,1999,4
73190000.0,52.3,12,2023,0
94820000.0,66.5,2,1999,5
108710000.0,59.5,13,2024,5
113170000.0,77.7,14,2002,4
81030000.0,52.4,12,1985,3
30350000.0,33.7,16,1986,2
54490000.0,37.1,16,2023,1
65750000.0,52.4,1,2006,0
60660000.0,39.5,6,2000,3
92420000.0,69.4,13,2017,0
89930000.0,53.6,6,2009,5
191230000.0,104.7,12,2011,3
46160000.0,30.7,13,2012,4
99970000.0,65.7,16,1992,5
49370000.0,41.7,6,1988,1
84960000.0,53.1,6,2014,5
69800000.0,64.5,1,1985,1
,25.0,5,2013,5
90910000.0,66.3,5,1990,5
111540000.0,96.3,8,1995,1
73500000.0,53.8,7,2013,0
111720000.0,66.7,14,2009,3
108900000.0,80.4,13,2016,0
72530000.0,59.0,12,2009,1
72630000.0,51.5,1,1986,4
39120000.0,25.0,8,2018,3
100340000.0,73.5,12,1993,4
79800000.0,60.0,4,1990,4
76980000.0,43.8,7,2020,5
73020000.0,64.3,12,1992,1
73870000.0,51.5,13,2006,0
66540000.0,52.5,14,2004,1
112120000.0,72.9,7,2015,4
53570000.0,37.9,7,1986,5
93850000.0,80.9,7,1989,0
56780000.0,36.8,11,2001,4
68080000.0,50.1,7,2003,4
104740000.0,96.6,7,2016,2
90610000.0,82.3,3,2009,2
95590000.0,63.8,8,1990,5
77590000.0,45.1,4,2024,3
95810000.0,52.5,9,2003,3
106710000.0,63.3,15,2023,5
99240000.0,62.7,13,2024,5
68830000.0,60.4,8,1987,4
69010000.0,61.4,16,2005,1
69490000.0,58.1,16,2001,1
37550000.0,36.0,8,2004,2
90240000.0,52.7,13,1997,3
135760000.0,78.5,6,2007,3
60250000.0,37.4,15,2004,3
68570000.0,58.6,6,1992,0
55100000.0,47.2,5,1996,1
72940000.0,64.0,3,1990,1
83980000.0,55.0,14,2018,4
163440000.0,88.6,5,2012,3
86640000.0,71.1,14,2000,0
61500000.0,38.4,2,2000,3
114940000.0,74.1,9,1988,3
52650000.0,48.1,7,1996,2
68020000.0,51.6,8,2021,1
91070000.0,67.6,3,1986,5
79180000.0,53.1,2,1990,5
153830000.0,78.1,6,2018,3
62790000.0,48.1,8,2005,0
72650000.0,50.9,13,1986,4
56880000.0,50.2,8,2004,2
78000000.0,51.8,4,2014,4
121800000.0,81.8,5,1998,5
105130000.0,73.3,10,2000,5
99820000.0,92.8,7,2010,2
179120000.0,102.8,15,2008,3
68180000.0,43.4,8,2021,4
69890000.0,63.3,10,1994,1
66370000.0,40.8,2,1996,3
59320000.0,48.0,4,1991,0
63550000.0,50.7,14,2011,1
38200000.0,43.0,6,2006,2
61130000.0,43.1,7,1998,5
69330000.0,59.4,10,2012,1
58780000.0,40.1,1,2000,4
,77.2,9,1992,5
68780000.0,45.5,6,2006,4
132410000.0,112.6,3,2002,1
82510000.0,53.9,7,2001,5
78340000.0,63.3,8,2002,0
46860000.0,38.7,3,2021,1
131450000.0,92.7,9,1993,4
119160000.0,82.2,12,1996,4
108930000.0,67.3,5,2007,5
41300000.0,37.8,16,1986,0
82660000.0,65.8,10,1990,0
42650000.0,41.8,13,2007,2
116340000.0,88.3,2,2005,0
115060000.0,76.6,13,2011,4
70370000.0,63.7,6,1989,1
31850000.0,25.0,12,2019,5
45330000.0,44.3,13,2004,2
73050000.0,74.4,5,1991,2
117160000.0,83.8,5,1997,4
121330000.0,82.0,1,1994,4
35660000.0,33.3,10,2003,1
79330000.0,67.4,13,2003,1
118500000.0,80.3,7,2002,5
46830000.0,32.1,3,2003,5
120980000.0,61.9,6,2021,3
114560000.0,66.9,7,2023,4
69710000.0,56.6,15,2004,0
51820000.0,28.7,2,2023,3
72270000.0,56.1,6,2017,0
68280000.0,56.1,11,2017,2
87140000.0,59.3,4,1994,4
75210000.0,51.9,15,2002,4
49620000.0,54.0,15,1999,2
80890000.0,61.3,7,1988,5
94920000.0,70.0,12,1988,4
91400000.0,56.5,13,2009,5
74320000.0,54.6,11,2001,5
0.0,63.7,3,2018,2
48360000.0,27.4,1,2011,4
66900000.0,70.6,6,1988,2
76000000.0,62.0,3,2018,2
94970000.0,62.7,5,2004,4
93730000.0,79.3,11,2007,1
44250000.0,26.8,10,2023,5
32780000.0,26.5,4,2010,1
84670000.0,66.9,1,1985,4
96260000.0,61.9,4,1992,3
73680000.0,65.1,8,2002,2
47030000.0,53.7,13,1986,2
88070000.0,74.0,6,1991,1
86380000.0,78.8,5,2016,2
79450000.0,70.7,9,1990,1
70510000.0,57.3,2,1991,0
24010000.0,25.0,4,2005,2
75040000.0,75.8,1,1988,2
109570000.0,84.0,9,1995,4
86570000.0,73.6,8,2022,2
48170000.0,46.2,10,2010,1
124670000.0,74.1,10,2023,5
133840000.0,77.5,7,1999,3
138810000.0,90.1,14,2009,4
48010000.0,46.2,15,1994,1
67900000.0,57.9,2,2000,0
118680000.0,75.5,15,1991,3
104900000.0,63.0,4,2018,5
59650000.0,41.9,4,1992,3
113020000.0,69.5,9,1993,3
76890000.0,72.4,1,2003,2
75440000.0,63.6,6,2002,1
83470000.0,66.0,4,1997,0
72330000.0,57.3,8,1999,0
144460000.0,88.6,14,1996,3
65910000.0,45.8,15,2021,4
64440000.0,51.4,4,2008,1
67510000.0,62.2,9,2021,2
88220000.0,77.8,8,2024,2
55420000.0,35.0,7,2011,4
55930000.0,38.4,11,2018,1
28150000.0,25.3,16,1989,1
85790000.0,62.6,7,2022,1
47900000.0,41.9,2,2004,0
61670000.0,55.1,15,2013,2
84860000.0,73.9,15,1994,1
64040000.0,50.5,6,1988,0
103770000.0,66.2,9,2020,4
95870000.0,56.6,14,2002,3
986040000.0,74.1,9,1990,5
93490000.0,70.6,8,2011,0
42800000.0,49.5,15,1987,2
81630000.0,59.0,14,2003,1
120500000.0,80.8,9,2013,4
106480000.0,69.1,3,2013,4
55460000.0,36.9,8,2003,4
76510000.0,73.8,11,1999,2
57790000.0,42.5,5,2018,0
,87.4,9,1992,4
75790000.0,80.4,11,1987,2
103620000.0,67.2,2,1991,3
115190000.0,64.8,10,2017,5
99230000.0,58.2,12,2003,3
83940000.0,74.2,4,1986,1
52690000.0,55.3,9,1991,2
71340000.0,66.2,12,1986,1
120670000.0,77.7,1,2017,4
69850000.0,51.9,11,2003,4
67480000.0,50.9,5,1987,4
44740000.0,40.5,7,1993,1
58180000.0,42.8,11,2009,1
33300000.0,29.1,1,2008,0
82110000.0,75.1,1,2017,2
100380000.0,94.6,8,1986,1
123150000.0,87.7,16,1987,4
41920000.0,32.7,1,1986,5
79340000.0,75.0,13,2000,2
122150000.0,87.6,2,2014,0
70940000.0,53.8,8,2011,0
86760000.0,63.8,7,1993,5
41030000.0,25.9,8,2011,3
105560000.0,66.8,2,2011,4
333990000.0,42.9,13,1992,2
90130000.0,65.6,5,2014,0
41050000.0,33.9,13,2001,1
85070000.0,71.8,11,1987,0
97630000.0,80.4,9,2000,1
61270000.0,47.9,5,2015,0
51550000.0,41.5,11,2012,0
31810000.0,25.0,16,1995,1
102270000.0,57.2,15,2015,3
50330000.0,51.5,15,2000,1
54740000.0,34.1,4,2003,5
63250000.0,70.2,10,1988,2
74530000.0,53.9,7,2024,1
84800000.0,42.6,16,2018,3
51160000.0,52.0,16,1992,2
125690000.0,81.3,14,2007,4
95070000.0,72.9,3,2016,1
110160000.0,59.7,6,2005,3
101470000.0,73.1,12,1993,5
69620000.0,41.1,12,2023,5
90450000.0,62.6,6,1995,4
65010000.0,64.7,3,1998,2
84640000.0,53.5,3,1999,5
109970000.0,69.8,11,2020,4
58970000.0,48.0,8,2005,2
86910000.0,71.2,8,2013,2
136860000.0,71.9,14,2021,3
35590000.0,25.0,1,2022,1
143340000.0,83.4,13,2019,5
37200000.0,25.0,5,2021,5
62710000.0,50.9,15,2022,1
142110000.0,80.5,16,2024,5
62150000.0,56.3,9,2010,2
39150000.0,35.6,6,1990,1
49860000.0,42.3,4,1989,0
94760000.0,80.5,3,2016,1
33020000.0,27.4,16,1997,0
149290000.0,82.3,4,2017,3
85110000.0,61.0,8,2022,1
47900000.0,40.5,8,2010,2
68700000.0,51.5,11,2015,1
65870000.0,43.7,14,1996,5
107100000.0,77.6,9,2002,4
89440000.0,75.2,13,2023,2
45150000.0,31.1,10,2017,0
70910000.0,54.7,7,1993,0
96690000.0,46.5,3,2022,3
140750000.0,85.3,4,2004,3
60770000.0,37.7,7,2018,5
114110000.0,90.9,1,2005,0
66930000.0,61.4,6,2009,2
46570000.0,41.1,8,1991,1
,49.8,8,1998,5
64850000.0,47.6,14,2013,1
57540000.0,39.1,16,2018,4
633690000.0,63.7,12,1988,0
49620000.0,39.9,2,1988,4
31970000.0,25.0,7,2012,0
89520000.0,55.2,12,2002,3
46540000.0,29.5,10,2018,4
75540000.0,48.5,8,1987,3
64690000.0,45.6,7,1998,5
57060000.0,46.3,7,1986,0
157720000.0,98.0,10,2013,5
75780000.0,63.0,3,2019,2
64090000.0,66.4,9,1991,2
36890000.0,30.0,4,1997,0
80740000.0,50.2,11,2018,5
87650000.0,65.9,14,1986,4
85970000.0,43.6,9,2023,3
101860000.0,78.3,7,2020,1
67050000.0,40.4,16,1991,3
51920000.0,56.8,11,1990,2
95940000.0,51.5,7,2012,3
68690000.0,65.0,1,1985,1
81460000.0,50.5,1,2005,5
54740000.0,57.1,4,1987,2
67350000.0,57.7,4,2006,2
65340000.0,48.8,12,1999,4
122300000.0,70.7,9,2013,3
108240000.0,66.3,16,2020,5
83450000.0,60.4,9,2004,4
77050000.0,54.3,15,2010,4
117920000.0,76.3,9,2009,4
67240000.0,57.8,6,2024,2
66560000.0,56.5,12,1994,0
61960000.0,63.9,8,1994,2
113560000.0,92.5,5,2000,0
48560000.0,37.9,8,2014,2
96890000.0,75.9,11,2019,1
22760000.0,27.9,7,1996,2
76910000.0,65.9,12,1989,1
159690000.0,90.4,16,2009,3
119340000.0,70.8,7,2008,5
107450000.0,65.1,5,1999,3
62470000.0,51.9,7,1992,1
103510000.0,62.6,14,2018,4
77130000.0,57.5,3,2018,0
71400000.0,47.9,16,2014,4
88450000.0,56.8,7,2008,4
67870000.0,65.6,14,1995,2
52070000.0,48.2,13,2001,1
40820000.0,47.5,13,1987,2
27130000.0,37.5,15,1994,2
107890000.0,69.0,3,2003,5
85400000.0,71.8,10,2002,1
72980000.0,66.2,2,1988,1
122180000.0,79.4,5,2023,4
88640000.0,63.6,1,1995,5
82640000.0,69.1,11,2005,1
113420000.0,67.5,10,2003,3
73580000.0,60.4,12,2003,1
0.0,52.4,3,2018,5
139770000.0,101.9,6,2014,1
74550000.0,53.9,11,2019,0
64000000.0,50.0,14,2000,1
94530000.0,69.8,15,1995,4
90220000.0,66.5,2,2002,4
46370000.0,36.7,7,2007,0
90420000.0,82.2,1,1998,1
103780000.0,60.3,14,2003,3
56920000.0,42.0,2,1991,5
123160000.0,83.4,14,2008,5
105400000.0,73.3,3,2013,0
48610000.0,39.2,1,2006,0
169160000.0,94.0,15,2019,3
108460000.0,73.9,8,2024,0
96470000.0,61.8,7,2021,4
91330000.0,90.6,11,1988,2
105440000.0,64.9,5,2020,5
666720000.0,61.5,12,1998,0
53730000.0,50.1,7,2003,2
93750000.0,72.5,5,2001,0
74040000.0,70.6,7,1996,2
103670000.0,62.3,1,2020,5
62170000.0,47.8,5,2010,1
125570000.0,64.3,10,2023,3
99380000.0,60.7,3,2023,4
38700000.0,38.0,2,2001,2
49340000.0,35.5,11,2014,4
109340000.0,72.2,7,2005,4
37000000.0,25.0,3,2004,4
104790000.0,65.7,12,2014,5
90740000.0,53.4,13,2012,5
92330000.0,85.5,1,2021,2
103850000.0,53.1,4,2015,3
111720000.0,73.9,6,2009,4
74200000.0,54.9,12,2021,1
70020000.0,64.0,2,1989,1
131280000.0,75.3,13,2015,3
54640000.0,53.7,6,2000,2
122850000.0,79.9,3,2002,5
52030000.0,44.1,14,2016,2
77140000.0,67.3,2,1995,1
95130000.0,78.6,3,2020,1
71470000.0,73.9,16,2004,2
121860000.0,96.5,9,1998,1
52510000.0,48.3,8,1998,1
69010000.0,37.2,11,2001,3
47080000.0,44.1,11,2022,2
86290000.0,73.9,10,1989,0
,71.0,1,2005,1
68790000.0,63.8,9,2018,2
50040000.0,41.8,5,2003,2
98980000.0,75.8,13,2007,0
42510000.0,40.0,9,1998,2
111850000.0,82.9,2,1990,4
125610000.0,113.4,15,2010,2
116630000.0,68.6,5,2021,4
92850000.0,72.5,5,2005,0
87670000.0,53.1,15,2002,5
32380000.0,29.4,13,1990,0
89400000.0,51.2,14,2022,5
72240000.0,42.3,11,2019,5
56140000.0,36.0,15,2021,5
116790000.0,93.0,2,1999,0
88500000.0,66.9,10,2010,0
79420000.0,68.8,5,2002,1
69790000.0,56.4,7,1994,0
85770000.0,58.9,4,1993,5
114170000.0,79.4,4,2000,4
95640000.0,61.4,8,2007,5
68780000.0,71.6,15,1989,2
62960000.0,58.5,11,2013,2
58860000.0,55.8,6,2003,2
66370000.0,36.7,7,2020,3
42990000.0,26.4,9,1996,0
84390000.0,57.3,4,1987,3
75330000.0,63.0,9,1997,0
63730000.0,38.8,12,2023,5
95210000.0,61.4,4,1997,4
92030000.0,63.0,10,2013,4
34420000.0,25.0,12,2018,1
53980000.0,45.5,9,1996,1
125060000.0,69.3,5,2010,3
117210000.0,69.0,9,1993,3
53660000.0,41.2,13,1999,1
105600000.0,64.9,4,1996,3
129040000.0,80.4,10,2011,5
114160000.0,76.0,11,2020,4
99630000.0,60.3,6,1995,3
85530000.0,53.6,7,1996,3
82650000.0,50.7,15,2017,5
114360000.0,70.4,6,2003,3
85980000.0,65.5,10,2005,0
106440000.0,73.3,3,2013,4
103570000.0,64.4,15,1990,3
138460000.0,76.7,10,2019,3
87920000.0,63.7,13,1999,4
105790000.0,76.1,10,2011,0
115590000.0,77.7,6,2002,4
78720000.0,47.5,6,2015,4
45050000.0,29.5,12,2009,0
84640000.0,89.8,14,1991,2
85800000.0,66.6,3,1992,0
29620000.0,31.1,14,2020,2
54950000.0,49.2,14,2005,2
123640000.0,75.9,2,1996,3
63800000.0,57.0,2,1990,0
74380000.0,52.8,12,1990,4
0.0,87.2,14,2021,3
77060000.0,43.1,7,2024,5
49790000.0,47.6,11,2000,2
65560000.0,65.8,16,1993,2
119510000.0,69.0,6,2001,3
101990000.0,70.9,4,1990,5
118910000.0,78.4,16,2006,4
87570000.0,65.6,5,2010,0
123940000.0,70.8,8,2024,5
78260000.0,57.3,8,1997,5
,63.1,9,1992,0
85290000.0,63.9,5,1990,5
79580000.0,65.9,11,2000,1
121400000.0,75.9,12,2009,4
94470000.0,72.0,4,1987,4
85730000.0,62.8,8,2015,0
60400000.0,47.4,1,2003,1
90860000.0,63.2,4,2016,4
91950000.0,61.5,16,2003,5
79490000.0,65.5,9,1991,0
1158840000.0,101.7,10,1985,5
52240000.0,52.6,15,2007,2
78310000.0,69.6,12,2006,2
109760000.0,81.2,13,2017,1
74290000.0,63.8,12,2020,2
152360000.0,104.1,8,1991,5
82520000.0,55.2,11,1997,5
79850000.0,67.8,5,1993,1
66000000.0,47.6,15,1989,5
64520000.0,55.7,3,1985,0
90890000.0,66.5,15,1988,5
99520000.0,77.2,15,2005,1
102880000.0,67.7,3,1991,5
88750000.0,84.7,12,1992,2
69380000.0,60.3,16,1989,0
67640000.0,56.0,10,2013,1
125160000.0,110.7,6,2010,2
82190000.0,69.1,15,2023,2
0.0,49.0,9,1989,4
57120000.0,49.5,2,1993,0
79110000.0,45.0,4,2003,3
120870000.0,78.9,11,2010,5
91130000.0,55.4,8,1990,3
83010000.0,64.3,4,1993,0
,60.9,13,2001,2
89310000.0,75.2,2,1985,0
42580000.0,46.8,4,2000,2
48190000.0,42.6,8,2015,2
89750000.0,66.0,1,2006,1
102620000.0,72.8,7,2002,4
86880000.0,68.0,15,2004,0
85590000.0,47.4,16,2022,5
93260000.0,74.2,14,2005,1
69710000.0,48.6,6,2006,1
85770000.0,52.6,2,2022,5
60380000.0,45.0,14,1991,5
119870000.0,85.4,6,1988,4
102190000.0,73.4,12,2002,4
,72.9,2,1997,1
121800000.0,84.4,11,1993,5
130110000.0,112.6,10,1989,1
54550000.0,31.2,15,2020,5
88320000.0,48.7,2,2009,3
90210000.0,50.9,7,2012,3
59850000.0,46.7,16,1989,0
79480000.0,42.6,7,1998,5
77230000.0,56.6,11,2009,0
52320000.0,40.1,3,2006,0
69320000.0,68.0,12,2012,2
81070000.0,62.9,5,2011,0
106080000.0,70.7,10,2001,5
128780000.0,71.1,15,2016,3
102130000.0,72.9,11,1995,4
84800000.0,55.3,8,1988,5
138100000.0,100.2,4,2021,1
61790000.0,66.2,6,1985,2
23820000.0,28.5,14,1996,2
54570000.0,44.0,4,1989,1
37020000.0,30.7,11,1994,0
67280000.0,62.3,8,2000,1
73680000.0,59.8,6,1990,0
68990000.0,53.6,12,2003,1
176600000.0,98.2,6,2022,3
98900000.0,71.9,5,1990,5
105100000.0,75.1,9,2022,0
79850000.0,45.2,13,2001,3
45150000.0,44.0,14,2008,2
76130000.0,62.7,11,2002,0
95200000.0,65.1,11,1997,4
31810000.0,28.6,13,1989,0
79120000.0,58.8,5,2008,0
113170000.0,62.3,5,2021,3
69420000.0,58.1,8,2005,0
53890000.0,47.4,11,2008,2
70180000.0,52.3,11,2010,0
77400000.0,58.8,3,2000,0
87740000.0,63.6,13,1989,5
104800000.0,72.9,6,2005,4
118290000.0,81.5,15,2019,0
88270000.0,56.7,12,1997,3
94400000.0,53.8,16,2019,5
116580000.0,69.9,11,2019,4
105200000.0,73.0,9,1994,4
64630000.0,54.2,4,2008,1
81090000.0,76.2,7,2014,2
96040000.0,79.6,14,2004,1
103110000.0,85.3,7,2012,1
103940000.0,94.0,1,2021,2
76220000.0,46.4,4,2010,5
118470000.0,62.3,10,2018,3
81070000.0,62.2,11,2017,0
114110000.0,60.2,16,2017,3
67980000.0,50.3,15,2019,1
48830000.0,35.3,9,1994,0
86520000.0,63.7,9,1985,4
73140000.0,48.2,13,1991,5
65020000.0,63.5,1,1994,2
56190000.0,47.7,10,2012,2
68230000.0,42.2,8,2005,3
83870000.0,66.2,13,2003,0
89130000.0,64.7,13,1985,5
129630000.0,72.4,11,2012,3
121740000.0,101.3,11,1999,1
125280000.0,67.0,12,2015,3
101480000.0,70.7,10,1989,5
42120000.0,42.6,4,1996,2
39950000.0,38.8,5,1987,1
115330000.0,90.5,12,1996,0
53460000.0,45.4,10,2021,2
41310000.0,43.2,4,2004,2
104100000.0,61.3,15,2002,3
62970000.0,60.4,16,1995,1
64350000.0,45.8,11,1995,4
60800000.0,56.5,4,2011,2
95570000.0,84.1,16,2024,2
83290000.0,47.5,4,2014,5
42700000.0,36.9,7,2014,1
98450000.0,79.0,14,2003,1
1087200000.0,70.9,9,1988,3
86190000.0,50.8,4,2013,5
43500000.0,33.5,2,2017,1
58060000.0,48.6,6,2005,0
80250000.0,61.0,11,1988,5
104270000.0,83.0,12,2013,1
54780000.0,43.3,4,2021,1
95560000.0,60.5,3,1993,3
87100000.0,74.2,12,1991,0
33340000.0,25.0,3,2014,0
136830000.0,80.6,2,1998,3
57920000.0,40.7,8,2013,4
0.0,68.0,10,2013,2
108630000.0,66.4,4,1995,3
107650000.0,81.5,4,1986,4
133700000.0,71.9,4,2007,3
30860000.0,25.0,6,2001,1
69820000.0,47.9,1,2019,4
98160000.0,64.5,1,1999,5
60330000.0,58.5,6,1994,2
97250000.0,70.6,1,2019,0
98020000.0,76.2,6,2014,0
122280000.0,73.0,10,2009,5
73670000.0,58.1,1,2023,1
55670000.0,28.8,10,2016,3
61880000.0,53.8,10,2019,2
92450000.0,69.5,10,2016,1
50650000.0,42.4,11,2001,2
87670000.0,73.4,13,1987,0
116380000.0,78.4,2,2009,4
91680000.0,64.3,3,2015,0
26570000.0,25.0,6,2024,2
50160000.0,39.0,12,2012,1
113550000.0,96.0,14,2007,1
77840000.0,52.2,15,2008,5
25600000.0,26.3,10,1989,2
93460000.0,84.2,7,1985,1
79540000.0,62.2,7,1986,5
110790000.0,81.9,1,2021,1
